03/11/17,,Sydney City SMASH,130,Victoria Men's Roller Derby,213,T2,-83,Loss,12,
03/11/17,,Victoria Men's Roller Derby,213,Sydney City SMASH,130,T1,83,Win,9,
03/18/17,Clover Cup 2017,Austin Anarchy,157,Oklahoma Men's Roller Derby,123,T1,34,Win,13,
03/18/17,,Capital City Hooligans,99,Cincinnati Battering Rams,236,T2,-137,Loss,6,
03/18/17,,Capital District Trauma Authority,64,Casco Bay Gentlemen's Derby,216,T2,-152,Loss,4,
03/18/17,,Casco Bay Gentlemen's Derby,216,Capital District Trauma Authority,64,T1,152,Win,8,
03/18/17,,Cincinnati Battering Rams,236,Capital City Hooligans,99,T1,137,Win,6,
03/18/17,,Cleveland Men's Roller Derby,128,Detroit Men's Roller Derby,364,T2,-236,Loss,11,
03/18/17,,Detroit Men's Roller Derby,364,Cleveland Men's Roller Derby,128,T1,236,Win,6,
03/18/17,,New Orleans Brass Roller Derby,34,Tampa Bay Men's Roller Derby,412,T1,-378,Loss,4,
03/18/17,Clover Cup 2017,Oklahoma Men's Roller Derby,123,Austin Anarchy,157,T2,-34,Loss,8,
03/18/17,,Tampa Bay Men's Roller Derby,412,New Orleans Brass Roller Derby,34,T2,378,Win,4,
03/19/17,Clover Cup 2017,Austin Anarchy,110,Texas Men's Roller Derby,216,T2,-106,Loss,13,
03/19/17,,Bridgetown Roller Derby,567,Lane County Concussion,33,T2,534,Win,9,
03/19/17,,Lane County Concussion,33,Bridgetown Roller Derby,567,T1,-534,Loss,5,
03/19/17,Clover Cup 2017,Texas Men's Roller Derby,216,Austin Anarchy,110,T1,106,Win,1,
04/08/17,,Drive-By City Rollers,234,The Skaters Grim,178,T1,56,Win,12,
04/08/17,,Drive-By City Rollers,213,Wheels of Mayhem,151,T1,62,Win,12,
04/08/17,,Lille Moustaches ,43,Panam Squad,357,T2,-314,Loss,2,
04/08/17,,Panam Squad,357,Lille Moustaches ,43,T1,314,Win,7,
04/08/17,,Puget Sound Outcast Derby,130,Vancouver Murder,182,T2,-52,Loss,10,
04/08/17,,The Skaters Grim,194,Wheels of Mayhem,130,T2,64,Win,5,
04/08/17,,The Skaters Grim,178,Drive-By City Rollers,234,T2,-56,Loss,5,
04/08/17,,Vancouver Murder,182,Puget Sound Outcast Derby,130,T1,52,Win,10,
04/08/17,,Wheels of Mayhem,130,The Skaters Grim,194,T1,-64,Loss,6,
04/08/17,,Wheels of Mayhem,151,Drive-By City Rollers,213,T2,-62,Loss,6,
04/09/17,,Race City Rebels,16,St. Louis Gatekeepers,467,T2,-451,Loss,11,
04/09/17,,St. Louis Gatekeepers,467,Race City Rebels,16,T1,451,Win,11,
04/15/17,,Chicago Bruise Brothers,153,Wisconsin Men's Roller Derby,166,T2,-13,Loss,7,
04/15/17,,Manchester Roller Derby,515,Wirral Roller Derby,55,T1,460,Win,13,
04/15/17,,Wirral Roller Derby,55,Manchester Roller Derby,515,T2,-460,Loss,3,
04/15/17,,Wisconsin Men's Roller Derby,166,Chicago Bruise Brothers,153,T1,13,Win,5,
04/22/17,,Austin Anarchy,219,Minnesota Men's Roller Derby,65,T2,154,Win,13,
04/22/17,MRDA Down Under,Brisbane City Rollers,41,Victoria Men's Roller Derby,310,T1,-269,Loss,5,
04/22/17,MRDA Down Under,Brisbane City Rollers,51,Thunderquads Roller Derby Masculino,283,T2,-232,Loss,5,
04/22/17,,Minnesota Men's Roller Derby,65,Austin Anarchy,219,T1,-154,Loss,13,
04/22/17,,New Orleans Brass Roller Derby,23,Oklahoma Men's Roller Derby,433,T1,-410,Loss,4,
04/22/17,,Oklahoma Men's Roller Derby,433,New Orleans Brass Roller Derby,23,T2,410,Win,8,
04/22/17,MRDA Down Under,Sydney City SMASH,51,Thunderquads Roller Derby Masculino,314,T1,-263,Loss,12,
04/22/17,MRDA Down Under,Sydney City SMASH,290,Varsity Derby League,103,T1,187,Win,12,
04/22/17,MRDA Down Under,Thunderquads Roller Derby Masculino,283,Brisbane City Rollers,51,T1,232,Win,4,
04/22/17,MRDA Down Under,Thunderquads Roller Derby Masculino,314,Sydney City SMASH,51,T2,263,Win,4,
04/22/17,MRDA Down Under,Varsity Derby League,96,Victoria Men's Roller Derby,264,T2,-168,Loss,7,
